reference,summary
"introductionstasis filling , defined as delayed , weak , and persistent opacification of proximal segments of the cerebral arteries , is frequently found in brain dead patients . 
 this phenomenon causes a major problem in the development of reliable computed tomographic angiography ( cta ) protocol in the diagnosis of brain death ( bd ) . 
 the aim of our study was to characterize stasis filling in the diagnosis of bd . to achieve this 
 , we performed a dynamic evaluation of contrast enhancement of the cerebral and extracranial arteries in patients with bd and controls.methodsstudy population included 30 bd patients , who showed stasis filling in computed tomographic perfusion ( ctp ) series . 
 thirty patients , after clipping of an intracranial aneurysm , constituted the control group . 
 the study protocol consisted of cta , ctp , and angiography . 
 time 
 density curves ( tdcs ) of cerebral and extracranial arteries were generated using 40-s series of ctp.resultscerebral tdcs in bd patients represented flat curves in contrast to tdcs in controls , which formed steep and narrow gaussian curves . 
 we found longer time to peak enhancement in bd patients than in controls ( 32 vs. 21  s ; p  <  0.0001 ) . in bd patients , peak enhancement in the cerebral arteries occurred with a median delay of 14.5  s to peak in extracranial arteries , while no delay was noted in controls ( p  <  0.0001 ) . 
 cerebral arteries in bd patients showed lower peak enhancement than controls ( 34.5 vs. 81.5  hu ; p  <  0.0001 ) . in all bd patients 
 , ctp revealed zero values of cerebral blood flow and volume . 
 angiography showed stasis filling in 14 ( 46.7  % ) and non - filling in 16 ( 53.3  % ) cases.conclusiona confrontation of stasis filling with ctp results showed that stasis filling is not consistent with preserved cerebral perfusion , thus does not preclude diagnosis of bd .","to achieve this , we performed a dynamic evaluation of contrast enhancement of the cerebral and extracranial arteries in patients with bd and control subjects with the use of the 40-s series of ctp scans . all cta and aortocervical angiography examinations in bd patients were performed using the same methodology as described previously [ 4 , 5 ] . rois are positioned in the distal segment of mca ( arrowhead ) and in the superficial temporal artery ( arrow ) in b d patients , the same dynamic series of scans were used for measurements of cerebral blood flow ( cbf ) and cerebral blood volume ( cbv ) with the multimodality workplace and syngo ve40a software package ( siemens ag , erlangen , germany ) . angiographies was performed with a delay of 15  min to 3  h after ctp . for each extracraneial and cerebral roi in the ctp series , the following parameters were measured : baseline density : ct density on the first scanenhancement at 20 , 30 , and 40  s : difference between density at the time point of 20 ,30 , and40  s and baseline densitypeak enhancement"
"the typical symptoms of advanced cancer of the stomach are well known in clinical practice . 
 the presented case concerns a patient with symptoms of left - sided renal colic , caused by a malignant tumour involving the ureter , which was diagnosed with a ct scan . 
 the multifocal process , involving the stomach , two parts of the colon , the left ovary and the side of the pelvis , was confirmed only during surgery.the resection or partial resection of the above - mentioned organs involved by the malignant process and reconstruction of the alimentary tract as well as the ureter were performed at time of this operation . 
 the patient 's recovery was without any complications . 
 the histopathological findings support the diagnosis of this malignant process as disseminated stomach cancer.in the available literature only two cases of stomach cancer metastasis to the ureter have been described . in both cited examples resection of the ureter with nephrectomy was performed . 
 the review of the literature supports the value of stomach palliative resection in prolonging life and improving quality of life .","gastric cancer is the second most frequent neoplasm of the alimentary tract after the large intestine . based on the conducted usg and single - phase computed tomography tests of the abdominal cavity and the pelvis , dilation of the ureter was found because of its infiltration by a pathological focus with the dimensions of 28 mm  15 mm . the patient underwent surgery on 10.05.2010 and intraoperatively , besides the expected neoplastic tumour of the left ovary with infiltration of the Ureter , numerous neoplasia foci were also found : a sigmoid colon tumour , a caecum tumour . a tumour in the body of the stomach and two single tumours in the omentum . on the 9th day after the operation , the patient was discharged home in a good general condition with recommendations for further treatment . the received postoperative histopathological protocol indicated that the stomach was the origin of the neoploplastic process . because of the palliative partial gastrectomy type , only 3 lymph nodes were described in this specimen and all of them contained neopastic cells . microscopic section , he staining , magnification 100 it is interesting biologically and constitutes the"
"eosinophilic gastroenteritis is very rare disorder that is characterized by eosinophilic infiltration of the gastrointestinal tract in the absence of any definite causes of eosinophilia . 
 it is associated with various clinical gastrointestinal manifestations , and depends on the involved layer and site . 
 we report a case of eosinophilic gastritis presenting with severe necrosis . 
 the symptoms disappeared immediately after beginning steroid treatment , and the eosinophil count decreased to the reference range . 
 the patient showed eosinophilic gastritis characterized by necrotic change such as necrotizing gastritis . 
 it is a unique presentation of eosinophilic gastritis . to the best of our knowledge , 
 no case of eosinophilic gastritis characterized by necrotic change such as necrotizing gastritis has been previously reported in korea .","she had no history of allergic diseases such as eczema or atopy , or food or drug allergies . her other blood chemistry test results were normal . to investigate the cause of the epigastric pain and tenderness , abdominal computed tomography was performed , which revealed severe edematous wall thickening with focal localized low attenuation of the fundus and cardia of the stomach ( fig . she underwent a repeated egd , which showed diffuse necrotic change in the funduses , cardia , and upper body ( fig ; she was immediately started on methylprednisolone ( 62.5 mg / day ; this dose was maintained for 7 days ) .she underwent a repeat egd that showed the replacement of white color scar tissue ( fig , the diagnosis of eosinophilic gastroenteritis is based on the following criteria : the presence of gastrointestinal symptoms , histological presentation of e eosynophilic infiltration in tissue layers of the digestive tract , presence of high eosminophil count in ascites , and no evidence of parasitic infection or eosenophilic involvement of extraintestinal organs . although rare , eosanophilic gastritis should be considered in the differential diagnosis of"
"caspase-14 is a unique member of the evolutionarily conserved family of cysteinyl aspartate 
 specific proteinases , which are mainly involved in inflammation and apoptosis . 
 however , recent evidence also implicates these proteases in proliferation and differentiation . 
 although most caspases are ubiquitously expressed , caspase-14 expression is confined mainly to cornifying epithelia , such as the skin . moreover , 
 caspase-14 activation correlates with cornification , indicating that it plays a role in terminal keratinocyte differentiation . 
 the determination of in vitro conditions for caspase-14 activity paved the way to identifying its substrates . 
 the recent development of caspase-14deficient mice underscored its importance in the correct degradation of ( pro)filaggrin and in the formation of the epidermal barrier that protects against dehydration and uvb radiation . 
 here , we review the current knowledge on caspase-14 in skin homeostasis and disease .","recently , caspase-14 was found to be involved in epidermal barrier formation ( denecker et al . , 2000 , 2005 ; in skin , cakase- 14 is expressed only in the differentiating and cornifying layers of the epidermis and the hair follicle ( lippens et al ; , 2000 ; this is consistent with the observation that , in vitro , Caspase -14 is only expressed in differentiating but not in proliferating keratinocytes [ lippen et al , 2000b , 2007 ) ) caspace-14 is probably not proteolytically activated by a caspaspase in vivo , as other caspases are not activated during epiderm differentiation ( eckhart et al - , 2000; deneck et al ). importantly , profilaggrin , a major structural protein in the dermis , has been shown to be a physiological substrate of caspat-14 ( degcker et - al ., 2000b ; lippene et al  although they are not activation during cornification , apoptotic caspas , in contrast to casp-14 , become activated during uvb- , staurospor"
"gossypiboma is a term used to describe a foreign mass within the body that is composed of a cotton matrix . 
 gossypiboma can cause infection or abscess formation from an early stage , or it can remain clinically silent for many years . 
 gossypiboma can be diagnosed using several methods including abdominal x - ray films , us of the abdomen , contrast - enhanced computed tomography of the abdomen , and during surgery . 
 however , the variable appearance of gossypiboma can lead to diagnostic misinterpretations . here , we report a successful diagnosis of gossypiboma using a novel method , that is , endoscopic ultrasound - fine - needle aspiration .","these foreign bodies can often mimic tumors or abscesses when detected clinically or with radiation . in fact , surgical sponges without opaque markers are the leading cause for the difficulty of a correct diagnosis . here , we present a case in which a foreign body , gauze without radiopaque markers , was left behind during a procedure that involved the removal of an intrapelvic tumor . after a computed tomography ( ct ) scan had revealed information leading to an inaccurate diagnosis , an accurate diagnosis of gossypiboma was successfully made using endoscopic ultrasound - fine - needle aspiration ( eus - fna ) . the patient 's medical history included a hysterectomy and a left side ovariectomy at the age of 27 . fna was performed with a 22-gauge needle ( ezshot2 , olympus optical co. , tokyo , japan ) by using the forward - view eus [ figure 2 ] . a : sagittal section ( black arrow ) ; b : horizontal section (black arrow ) . endoscopic u eus)-fine - needle aspir using forward -view eus a foreign bodies ( string of gauze ) obtained using the 22-Gau"
"purposeto demonstrate the usefulness of enhanced depth imaging optical coherence tomography ( edi - oct ) in investigating choroidal lesions inaccessible to ultrasound sonography.methodsin a 60-year - old woman with an asymptomatic choroidal nevus , normal oct was used to observe the macula and edi - oct to image the choroidal nevus that was inaccessible to ultrasound . 
 the exact location of the lesion in the choroid and the dimensions of the nevus were measured.resultsthe lesion was located in the superior macula , and the nevus was homogeneous in its reflectivity . 
 we observed a thickened choroid delineated by the shadow cone behind it , measuring 1,376  325 m in the larger vertical cut and 1,220  325 m in the larger horizontal cut in an image with a 1:1 pixel mapping and automatic zoom . 
 the macular profile and thickness were both normal.conclusionsedi-oct appears to be an excellent technique for measuring choroidal nevi and all choroidal lesions accessible to oct imaging by depicting their exact location in the choroid , their dimensions , and their demarcation from the surrounding healthy tissue , thus allowing for a more efficient and accurate follow - up .","in a 60-year - old woman with an asymptomatic choroidal nevus , normal oct was used to observe the macula and edi - oct to image the choroid neavus that was inaccessible to ultrasound . the exact location of the lesion in the chorioid and the dimensions of the nevu were measured . edi / oct appears to be an excellent technique for measuring choroids nevi and all chorinal lesions accessible to oct imaging by depicting their exact location in the pheochoroid , their dimensions , and their demarcation from the surrounding healthy tissue , thus allowing for a more efficient and accurate follow - up . recently , enhanced depth imaging oct ( edi + oct ) has been used in order to measure chorioidal thickness in normal and pathologic eyes [ 3 , 4 ] . here , we report a case of a flat chorous nevux inaccessible to ultrography that was evaluated by edi -- oct . her best - corrected visual acuity was 20/20 in both eyes . in the left eye , the anterior segment was normal ; however , on fundoscopy a choricular nevum located in the superior macula was"
"nuclear factor e2-related factor 2 ( nrf2 ) is a transcription factor that upregulates expression of a battery of genes to combat oxidative and electrophilic stress . 
 modification of kelch - like ech - associated protein 1 ( keap1 ) by reactive oxygen species stabilizes nrf2 by escaping from degradation . 
 nrf2 then binds to antioxidant response elements ( ares ) on the promoter region of various genes . 
 activation of the keap1-nrf2-are pathway plays critical roles in the chemopreventive effect of various phytochemicals . 
 however , nrf2 can protect cancer cells from oxidative stress and promote cell proliferation . 
 moreover , recent studies reveal that activation of the nrf2 pathway is critical for resistance to chemotherapeutic agents . 
 the aim of this review is to provide a molecular basis for the use of nrf2 inhibitors in overcoming chemoresistance .","kelch - like ech - associated protein 1 ( keap1)-nuclear factor e2-related factor 2 ( nrf2 ) is a major cellular pathway that protect normal cells against oxidative and xenobiotic damage.1 Nrf2 is an essential transcription factor for antioxidant and detoxification genes and is crucial for the chemopreventive effect of various phytochemicals against carcinogenesis . neh1 has dna binding motifs.6 neh3 , neh4 , and neh5 have domains involved in the transactivation of nrfrf2 target genes by binding coactivators . ros modify the cysteine residues of keap 1 , leading to the release of the dlg motif ( latch ) without changing the etgf motif ( hinge ) on neh2 . the are - bearing genes that are regulated by nrf 2 in humans have been studied using microarray analysis of genes induced by chemopresventive agents or knockout of Keap1 in human cell lines.2 these genes can be categorized into 5 groups : antioxidant genes ( gclc , gclm , gpx2 , gsr , slc7a11 , srxn1 , and tx"
"rhabdomyolysis is an acute life - threatening condition that can occur in childhood secondary to many causes . 
 the authors report the case of a 3-year - old male child who presented with acute rhabdomyolysis . 
 the peak plasma creatine kinase level was extremely high . 
 the 2 main causes of rhabdomyolysis in childhood are viral myositis and trauma , which can sometimes lead to acute renal failure . the highest creatine kinase levels reported in the literature so far was a 6-digit level in 2014 case report . in this study , the authors report the case of a 7-digit creatine kinase level in a child secondary to viral myositis who did not require renal dialysis .","this was followed by irritableness , hypoactivity , and inability to move his legs and arms . the child started on intravenous hydration and received 1 dose of intravenous immunoglobulin . on the second day , the creatine kinase and serum transaminase levels improved , with creatinine reaching 0.94 mg / dl , the highest level reached . he had persistent weakness in the lower limbs , but was unable to walk , with a follow - up examination 1 month after discharge , revealing that the child was able to walk normally with positive deep tendon reflex . rhabdomyolysis is suspected clinically when muscle aches , muscle weakness , and tea - colored urine are present . the most common complication of rhabDysis is kidney damage . the risk factors that predispose a patient with rhabdyolysis for developing acute renal injury are CK kinase level concentration more than 5000 u / l , creatine kin kinase value upon admission , and slower decline in the serum creatine kase level . other factors include high myoglobin level , persistent or abrupt increase in the potassium or calcium level , as well as persistent metabolic acidosis .on the other hand , a recent study by fernandez et al showed"
"purpose : to describe the technique of cryopreservation of corneal lenticules extracted after small incision refractive lenticule extraction ( relex smile ) and initial results of femtosecond laser intrastromal lenticular implantation for hyperopia.methods:lenticules were collected from patients undergoing relex smile for the correction of myopia and subjected to a tissue processing technique and cryopreservation . 
 these lenticules were subsequently used to treat 8 hyperopic eyes and 1 aphakic eye . 
 a femtosecond laser was used to create a pocket into each patient 's cornea , followed by implantation of a cryopreserved lenticule . 
 the patients were monitored through follow - up examinations for a mean 155.4 days ( 38310 days).results : the mean interval from storage of lenticules to removal from liquid nitrogen was 96 days ( range , 19178 days ) . 
 mean spherical equivalent of hyperopic eyes treated was + 4.50  1.1 diopter ( d ) . 
 mean keratometry and pachymetry changed from preoperative 43.9 d and 531.6 m to 47.4 d and 605.2 m , respectively , postoperatively . 
 mean residual spherical equivalent for hyperopic eyes was + 0.6 d and + 4.1 d for the aphakic eye . 
 none of the eyes showed evidence of rejection or loss of best - corrected visual acuity at the end of the follow - up period.conclusions:the cryopreservation technique seems to be a safe method of long - term storage of refractive lenticules extracted after relex smile for use in allogeneic human subjects . 
 it may potentially be a safe and effective alternative to excimer laser ablation for hyperopia because of the low risks of regression , haze , flap - related complications , postoperative dry eye , and higher - order aberrations.clinical trial registration 
 url : http://www.clinicaltrials.gov . 
 unique identifier : ctri/2014/01/004331 .","the lenticules were then transferred into a cryovial and resuspended in 500 l medium containing 10% tissue culture media . a visumax fs laser was used to create a 7.5 mm diameter pocket at a depth of 160 m and 4 mm superior incision . the lenticule were then transfer into a Cryovialand resuspend in 500 L medium containing 5% tissueculture media .A visumap fs laserwas used to creating a 7,5 mmiameter pocket atA depth of160 m and four mm superior excision . figure 2 shows serial clinical photographs and anterior segment optical coherence tomography of the eye treated with fili at day 15 and at 6 months post - fili showing clear lenticular with good centration . the refractive predictability for hyperopia was fairly accurate , and all eyes had a residual spherical equivalent within 1.0 diopter ( d ) , although in the aphakic eye , the residual spherical equivalents was + 4.1 d. there was an average of 0.75 to 1.00 d against - the - rule astigmatism in all eyes due to the superior 4 mm incision , which reduced and stabilized over time . postoperative results"
"objective . to investigate the prognostic significance of serum soluble triggering receptor expressed on myeloid cells-1 ( strem-1 ) , procalcitonin ( pct ) , n - terminal probrain natriuretic peptide ( nt - pro - bnp ) , c - reactive protein ( crp ) , cytokines , and clinical severity scores in patients with sepsis . 
 methods . 
 a total of 102 patients with sepsis were divided into survival group ( n = 60 ) and nonsurvival group ( n = 42 ) based on 28-day mortality . 
 serum levels of biomarkers and cytokines were measured on days 1 , 3 , and 5 after admission to an icu , meanwhile the acute physiology and chronic health evaluation ii ( apache ii ) and sequential organ failure assessment ( sofa ) scores were calculated . results . 
 serum strem-1 , pct , and il-6 levels of patients in the nonsurvival group were significantly higher than those in the survival group on day 1 ( p < 0.01 ) . 
 the area under a roc curve for the prediction of 28 day mortality was 0.792 for pct , 0.856 for strem-1 , 0.953 for sofa score , and 0.923 for apache ii score . 
 multivariate logistic analysis showed that serum baseline strem-1 pct levels and sofa score were the independent predictors of 28-day mortality . 
 serum pct , strem-1 , and il-6 levels showed a decrease trend over time in the survival group ( p < 0.05 ) . 
 serum nt - pro - bnp levels showed the predictive utility from days 3 and 5 ( p < 0.05 ) . conclusion . in summary , elevated serum strem-1 and pct levels provide superior prognostic accuracy to other biomarkers . 
 combination of serum strem-1 and pct levels and sofa score can offer the best powerful prognostic utility for sepsis mortality .","crp is a widely used biomarker to discriminate the inflammatory response to sepsis . indicated that strem-1 was more accurate than pct and crp in the diagnosis of sepsic , but others showed that the prognostic utility of serum strem and 1 in septic shock was inferior to that of pct . there were no differences in nt - pro - bnp and cr p , il-10 levels between the two groups ( p > 0.05 ) ( table 2 ) . the roc analysis showed that The accuracy of the pct , strem -1 , Il-6 , apacheii , and sofa scores on day 1 for the prediction of 28-day mortality was moderate ( auc > 0 0.7 , p < 0.01 ) , whereas the accuracy of nt _ pro - Bnp , crp , and il- 10 was low ( aUC <0.6 , p > 1.05 , ( figure 1 ) , the auc of apachei and sofa score were higher than those of strem1 and pct ( p < .05 ). ( table 3 ) . median serum biomarkers and cytokines levels were determined on days 1 ,"
"abstractpurposethis study aimed to determine the effects of heat acclimatization on performance and pacing during outdoor cycling time trials ( tt , 43.4 km ) in the heat.methodsnine cyclists performed three tt in hot ambient conditions ( tth , approximately 37c ) on the first ( tth-1 ) , sixth ( tth-2 ) , and 14th ( tth-3 ) days of training in the heat . data were compared with the average of two tt in cool condition ( approximately 8c ) performed before and after heat acclimatization ( ttc).resultstth-1 ( 77  6 min ) was slower ( p = 0.001 ) than tth-2 ( 69  5 min ) , and both were slower ( p < 0.01 ) than ttc and tth-3 ( 66  3 and 66  4 min , respectively ) , without differences between ttc and tth-3 ( p > 0.05 ) . 
 the cyclists initiated the first 20% of all tt at a similar power output , irrespective of climate and acclimatization status ; however , during tth-1 , they subsequently had a marked decrease in power output , which was partly attenuated after 6 d of acclimatization and was further reduced after 14 d. hr was higher during the first 20% of tth-1 than that in the other tt ( p < 0.05 ) , but there were no differences between conditions from 30% onward . 
 final rectal temperature was similar in all tth ( 40.2c  0.4c , p = 1.000 ) and higher than that in ttc ( 38.5c  0.6c , p < 0.001).conclusionsafter 2 wk of acclimatization , trained cyclists are capable of completing a prolonged tt in a similar time in the heat compared with cool conditions , whereas in the unacclimatized state , they experienced a marked decrease in power output during the tth .","1 ) ( all p > 0.05 ) . ttc was significantly ( p < 0.001 ) higher than tth-1 , tth -2 , and tt-3 , respectively . the post hoc analysis showed that hr was significantly elevated during tth‑1 as compared with that during both ttc and t th-3 during the first 20% of the tt (all p <0.05 ). . * rectal temperature continuously recorded during toth-1 and pth-3 showed an increase during the t t (  = 0.93 , p < .001 ) and was higher during the same first 80% of teth-1 than that during th-3 ( fig . 1 )     . t tc was significantly   = 1 , p    . .   , Tth-2 ,, and tth and 3 , respectively ) . the Post hoc analysis concluded that hr is significantly elevatedDuring tth, as comparedwith that duringboth ttc, tth of 3 during the 1 20% and t tt   -   ) . * ralal temperature continuous recorded during thth- 1 and tther-3"
"the paper analyses the selected optical parameters of protective optic filters used for protection of the eyes against hazardous radiation within the visible ( vis ) and near infrared ( nir ) spectrum range . 
 the indexes characterizing transmission and reflection of optic radiation incident on the filter are compared . 
 as it follows from the completed analysis , the newly developed interference filters provide more effective blocking of infrared radiation in comparison with the currently used protective filters .","the filters currently used for the protection of the face and eyes against hazardous ir radiation are of metallic reflective type , made of glass or organic material ( mainly polycarbonate ) bases coated with a single metallic layer for reflectance of ir radiation or absorption filters . as well as high reflection coefficients for the nir spectrum . the aim of the present study was to compare the optic properties of protective filters manufactured by taking advantage of the interference technology and those coated with A single metal layer reflecting ir radiation . the coefficients characterizing their optic parameters , allowing to assess the protective properties within the vis and ir spectrum range were compared . the following coefficients were analysed : luminous transmittance ( v),ir transmittances within the 7801400  nm range ( a),irtransmittance within the 7802000  nm region ( n),ir reflectance withinthe 7802000 , nm range, r n), ir absorptance withinThe 7802000, nm range  a n),shade number ( n ) . luminous andmittance  v ) , ir transmittant within the 2801400 , ir cismittance between the 780 2000  nm group ( n ), ir reflectance in the 6702000 nm range ( r n )"
"objectivethis study compared the clinical and economic benefits associated with dual - goal achievement , glycated hemoglobin ( hba1c ) < 7% ( 53 mmol / mol ) and ldl cholesterol ( ldl - c ) < 100 mg / dl , with achievement of only the ldl - c goal or only the hba1c goal in veterans with type 2 diabetes mellitus ( t2dm).research design and methodsthis retrospective cohort analysis evaluated electronic medical records ( veterans integrated service network 16 ) in adult t2 dm patients with two or more measurements of ldl - c and hba1c between 1 january 2004 and 30 june 2010 ( n = 75,646 ) . 
 cox proportional hazards models were used to compare microvascular and cardiovascular outcomes by goal achievement status ; generalized linear regression models were used to assess diabetes - related resource utilization ( hospitalization days and number of outpatient visits ) and medical service costs.resultsrelative to achievement of only the ldl - c goal , dual - goal achievement was associated with lower risk of microvascular complications ( adjusted hazard ratio [ ahr ] 0.79 ) , acute coronary syndrome ( 0.88 ) , percutaneous coronary intervention ( 0.78 ) , and coronary artery bypass graft ( cabg ) ( 0.74 ) ; it was also associated with fewer hospitalization days ( adjusted incidence rate ratio [ airr ] 0.93 ) and outpatient visits ( 0.88 ) , as well as lower diabetes - related annual medical costs ( $130.89 ) . 
 compared with achievement of only the hba1c goal , dual - goal achievement was associated with lower risk of the composite cardiovascular - related end point ( ahr 0.87 ) and cabg ( ahr 0.62 ) , as well as fewer outpatient visits ( airr 0.98).conclusionsachieving both hba1c and ldl - c goals in diabetes care is associated with additional clinical and economic benefits , as compared with the achievement of either goal alone .","utilization and costs were considered diabetes related if they were associated with diagnoses of any of the following : diabetes , macrovascular complications , or microvascular complication . utilization and costs are considered diabetesrelated if they are associated with diagnosis of anyof the following: diabetes , microvvascular diseases , or macrovvvacular complications . after adjusting for demographics , diabetes - related complications , comorbidities , surgical procedures , diabetic medication use , and health care utilization , dual - goal achievement , when compared with achievement of ldl - c goal alone , was associated with a significantly reduced risk of microbascular complications ( adjusted hazard ratio 0.79 [ 95% ci 0.760.82 ] ) , acs ( 0.88 [ 0.810.96 ] ) ) , pci ( 1.78 [ 0,670.90 ] ) ), and cabg ( 0,74 [ 0-600.92 ] ) ] , but not of the composite cardiovascular - related end point (1.00 [ 0 to941.06 ] ) ( fig . after adjustment for demographics ), diabetes -related complications , Comorbidity , surgical Procedures , diabetic medications use ,and health care organization , dual / goal achie"
"backgroundthe aim of this study was to determine if ultrasound ( us ) measurements of anterior neck soft tissue thickness at hyoid bone ( dshb ) , thyrohyoid membrane ( dsem ) , and anterior commissure ( dsac ) levels can be used to predict difficult laryngoscopy.material/methodswe included 203 patients age 2065 years scheduled to undergo general anesthesia in this prospective observational study . 
 correlation analysis and receiver operating characteristic curve ( roc ) analysis were used to determine the roles of screening tests [ interincisor gap ( iig ) , thyromental distance ( tmd ) , modified mallampati score ( mms ) ] and us measurements ( dshb , dsem , dsac ) in predicting difficult laryngoscopy.resultsthere were 28 out of 203 patients categorized as difficult laryngoscopy . 
 dshb , dsem , dsac , and mms were greater in the difficult laryngoscopy group ( p<0.0001 ) . 
 there was a strong positive correlation between dsem and dshb ( r=0.74 ) ; moderate positive correlations between dsem and dsac ( r=0.60 ) , dshb and dsac ( r=0.69 ) ; small positive correlations between mms and dshb ( r=0.32 ) , mms and dsem ( r=0.27 ) , mms and dsac ( r=0.32 ) , all p values 0.0001 ; very small positive correlation between tmd and iig ( r=0.18 , p=0.0089 ) ; small negative correlation between iig and mms ( r=0.27 , p=0.0001 ) ; and very small negative correlations between mms and tmd ( r=0.20 , p=0.004 ) , iig and dsac ( r=0.18 , p=0.011 ) , iig and dshb ( r=0.15 , p=0.034 ) . 
 the areas under the roc curve ( aucs ) of mms , dshb , dsem , and dsac were significantly larger compared with the reference line ( p<0.0001).conclusionsanterior neck soft tissue thicknesses measured by us at hyoid bone , thyrohyoid membrane , and anterior commissure levels are independent predictors of difficult laryngoscopy . 
 combinations of those screening tests or risk factors with us measurements might increase the ability to predict difficult laryngoscopy .","further demonstrated that the anterior neck soft tissue thickness measured by ultrasound at hyoid bone and thyrohyoid membrane levels can be used as an index to predict difficult laryngoscopy , but only the anterior cervical soft tissue layer thickness at thyro hyoid membrane level can be use as an independent predictor of difficult larynngoscop . however , a similar study in the unites states showed that us quantification of anterior soft tissue and general bedside screening tests failed to predict impossible larygoscopy in american obese patients , suggesting that racial or body shape differences might exist . the modified mallampati score ( mms ) was specified according to the visibility of pharyngeal structures with the patient in an upright sitting position , head in neutral position , mouth wide open , and tongue protruding to its maximum without phonation ( figure 1a ) . there were 28 of 203 patients ( 13.8% ) categorized as difficult lariesngoscopes , and 50% of patients with difficult liangoscopy included in our study were males . the thicknesses of anterior necksoft tissue measured by us were greater in the difficult laparoscopy group compared to the easy larygeopy group at the level"
"introductionpericardial effusion and atrial fibrillation occur commonly after coronary artery surgery.aim of the studya prospective randomized clinical trial was conducted to evaluate the effects of posterior pericardiotomy on the occurrence of pericardial effusion , tamponade , and atrial fibrillation.material and methodsthe study group consisted of 96 patients ( 77 male and 19 female ) at a mean age of 58.1  9.8 years . 
 the patients were randomly assigned to one of three study groups : patients undergoing posterior pericardiotomy ( group i , n = 30 ) , controls ( group ii , n = 33 ) , and patients with additional posterior pericardial drainage tubes ( 28 mm ) who did not undergo posterior pericardiotomy ( group iii , n = 33).resultspostoperative hospitalization ( p = 0.03 ; 11.56  10.64 ) and reoperation due to tamponade ( p = 0.019 ; 12.1% ) were significantly higher in group ii . 
 extensive pericardial effusions were detected in one patient on the first postoperative day ( group ii , n = 1 ) , in one patient on the fifth postoperative day ( group iii , n = 1 ) , and in one patient on the 30th day after the operation ( group iii , n = 1 ) . 
 pericardial effusion exhibited regression in group i on postoperative day 30 ( p = 0.028 ) . a higher rate of postoperative atrial fibrillation was noted in group i , but no significant differences were found between the groups with regard to postoperative atrial fibrillation.conclusionspatients who did not undergo posterior pericardiotomy or did not receive posterior chest tubes exhibited residual pericardial effusion , required longer hospitalization , and had to be reoperated due to tamponade . 
 both posterior pericardiotomy and the use of posterior tubes are effective in the early postoperative period .","pericardial effusion , which is a common complication after coronary artery surgery ( cas ) , may be the cause of significant morbidity . the study groups included patients after pp ( group i , n = 30 ) , a control group ( group ii , n= 33 ) , and patients without pp who received posterior pericardium tubes ( the tube was placed behind the heart and sutured to the adjacent pericardiial tissue to avoid tube - induced ventricular arrhythmias ) ( group iii , n - 33 ) . i , a 4-cm longitudinal incision was made parallel and posterior to the left phrenic nerve , extending from the left inferior pulmonary vein to the diaphragm , as described by mulay et al . we compared the groups with regard to the volume of effusion on postoperative days 1 , 5 , and 30 . one of these patients experienced low cardiac output during and following reoperation due to cardiac tamponade and died on post operative day 12 . in group i ), the volume and the fluid evacuated by mediastinal drainage was lower than in groups ii and iii , but the difference was not statistically significant ( table ii ) . the incidence of cardiac tamponsade was"
"cisplatin is an effective drug used in the treatment of many cancers , yet its ototoxic potential places cancer patients , exposed to this drug , at risk of hearing loss , thus negatively impacting further on a patient 's quality of life . 
 it is paramount for health care practitioners managing such patients to be aware of cisplatin 's ototoxic properties and the clinical signs to identify patients at risk of developing hearing loss . 
 english peer - reviewed articles from january 1975 to july 2015 were assessed from pubmed , science direct , and ebscohost . 
 seventy - nine articles and two books were identified for this review , using mesh terms and keywords such as  ototoxicity  ,  cisplatin  ,  hearing loss  , and  ototoxicity monitoring  . 
 this review provides an up - to - date overview of cisplatin - associated ototoxicity , namely , its clinical features , incidence rates , and molecular and cellular mechanisms and risk factors , to health care practitioners managing the patient with cancer , and highlights the need for a team - based approach to complement an audiological monitoring programme to mitigate any further loss in the quality of life of affected patients , as there is currently no otoprotective agent recommended routinely for the prevention of cisplatin - associated ototoxicity . 
 it also sets the platform for effective dialogue towards policy formulation and strengthening of health systems in developing countries .","south africa , like other developing countries , is also experiencing an increase in the overall burden of disease attributable to cancer , with the number of new cancer cases predicted to increase by 46% by 2030 . this review therefore aims to serve as resource for health professionals to enhance their understanding of ototoxic as well as their roles within an ototoxicity monitoring programme by providing an overview and description of this condition in patients diagnosed with cancer and receiving cisplatin chemotherapy . this resulted in the following eight areas being included : the mechanisms of cisplat otototoxicity , clinical presentation , risk factors , incidence rates in adults and children , the effect on quality of life , ot otoxicity monitoring , otoprotective strategies , and management of an ot otoxic hearing loss . , in their investigation of 55 children on cisplatinum chemotherapy , found that the high frequency hearing thresholds were slightly elevated in the left ear and that males had a greater degree of hearing loss than the females . additional factors that may increase ototoxin include exposure to concomitant noise , chemicals , and other ototox medications . furthermore , evidence also shows that melanin content is related to an increased risk of cis-atin - associated otot toxicity . the variations may"
